index,date,value,ticker
Pretax Income,2023-12-31 00:00:00,1818000000.0,YUM
Other Income Expense,2023-12-31 00:00:00,28000000.0,YUM
Other Non Operating Income Expenses,2023-12-31 00:00:00,9000000.0,YUM
Special Income Charges,2023-12-31 00:00:00,17000000.0,YUM
Other Special Charges,2023-12-31 00:00:00,,YUM
Write Off,2023-12-31 00:00:00,12000000.0,YUM
Impairment Of Capital Assets,2023-12-31 00:00:00,,YUM
Restructuring And Mergern Acquisition,2023-12-31 00:00:00,-29000000.0,YUM
Gain On Sale Of Security,2023-12-31 00:00:00,2000000.0,YUM
Net Non Operating Interest Income Expense,2023-12-31 00:00:00,-513000000.0,YUM
Interest Expense Non Operating,2023-12-31 00:00:00,513000000.0,YUM
Operating Income,2023-12-31 00:00:00,2303000000.0,YUM
Operating Expense,2023-12-31 00:00:00,1193000000.0,YUM
Selling General And Administration,2023-12-31 00:00:00,1193000000.0,YUM
General And Administrative Expense,2023-12-31 00:00:00,1193000000.0,YUM
Other Gand A,2023-12-31 00:00:00,1193000000.0,YUM
Salaries And Wages,2023-12-31 00:00:00,-6000000.0,YUM
Gross Profit,2023-12-31 00:00:00,3496000000.0,YUM
Cost Of Revenue,2023-12-31 00:00:00,3580000000.0,YUM
Total Revenue,2023-12-31 00:00:00,7076000000.0,YUM
Operating Revenue,2023-12-31 00:00:00,7076000000.0,YUM
Tax Effect Of Unusual Items,2022-12-31 00:00:00,7917000.0,YUM
Tax Rate For Calcs,2022-12-31 00:00:00,0.203,YUM
Normalized EBITDA,2022-12-31 00:00:00,2296000000.0,YUM
Total Unusual Items,2022-12-31 00:00:00,39000000.0,YUM
Total Unusual Items Excluding Goodwill,2022-12-31 00:00:00,39000000.0,YUM
Net Income From Continuing Operation Net Minority Interest,2022-12-31 00:00:00,1325000000.0,YUM
Reconciled Depreciation,2022-12-31 00:00:00,146000000.0,YUM
Reconciled Cost Of Revenue,2022-12-31 00:00:00,3535000000.0,YUM
EBITDA,2022-12-31 00:00:00,2335000000.0,YUM
EBIT,2022-12-31 00:00:00,2189000000.0,YUM
Net Interest Income,2022-12-31 00:00:00,-527000000.0,YUM
Interest Expense,2022-12-31 00:00:00,527000000.0,YUM
Normalized Income,2022-12-31 00:00:00,1293917000.0,YUM
Net Income From Continuing And Discontinued Operation,2022-12-31 00:00:00,1325000000.0,YUM
Total Expenses,2022-12-31 00:00:00,4675000000.0,YUM
Total Operating Income As Reported,2022-12-31 00:00:00,2187000000.0,YUM
Diluted Average Shares,2022-12-31 00:00:00,290000000.0,YUM
Basic Average Shares,2022-12-31 00:00:00,286000000.0,YUM
Diluted EPS,2022-12-31 00:00:00,4.57,YUM
Basic EPS,2022-12-31 00:00:00,4.63,YUM
Diluted NI Availto Com Stockholders,2022-12-31 00:00:00,1325000000.0,YUM
Net Income Common Stockholders,2022-12-31 00:00:00,1325000000.0,YUM
Net Income,2022-12-31 00:00:00,1325000000.0,YUM
Net Income Including Noncontrolling Interests,2022-12-31 00:00:00,1325000000.0,YUM
Net Income Continuous Operations,2022-12-31 00:00:00,1325000000.0,YUM
Tax Provision,2022-12-31 00:00:00,337000000.0,YUM
Pretax Income,2022-12-31 00:00:00,1662000000.0,YUM
Other Income Expense,2022-12-31 00:00:00,22000000.0,YUM
Other Non Operating Income Expenses,2022-12-31 00:00:00,-17000000.0,YUM
Special Income Charges,2022-12-31 00:00:00,19000000.0,YUM
Other Special Charges,2022-12-31 00:00:00,-27000000.0,YUM
Write Off,2022-12-31 00:00:00,8000000.0,YUM
Impairment Of Capital Assets,2022-12-31 00:00:00,,YUM
Restructuring And Mergern Acquisition,2022-12-31 00:00:00,-27000000.0,YUM
Gain On Sale Of Security,2022-12-31 00:00:00,20000000.0,YUM
Net Non Operating Interest Income Expense,2022-12-31 00:00:00,-527000000.0,YUM
Interest Expense Non Operating,2022-12-31 00:00:00,527000000.0,YUM
Operating Income,2022-12-31 00:00:00,2167000000.0,YUM
Operating Expense,2022-12-31 00:00:00,1140000000.0,YUM
Selling General And Administration,2022-12-31 00:00:00,1140000000.0,YUM
General And Administrative Expense,2022-12-31 00:00:00,1140000000.0,YUM
Other Gand A,2022-12-31 00:00:00,1140000000.0,YUM
Salaries And Wages,2022-12-31 00:00:00,9000000.0,YUM
Gross Profit,2022-12-31 00:00:00,3307000000.0,YUM
Cost Of Revenue,2022-12-31 00:00:00,3535000000.0,YUM
Total Revenue,2022-12-31 00:00:00,6842000000.0,YUM
Operating Revenue,2022-12-31 00:00:00,6842000000.0,YUM
Tax Effect Of Unusual Items,2021-12-31 00:00:00,5723000.0,YUM
Tax Rate For Calcs,2021-12-31 00:00:00,0.059,YUM
Normalized EBITDA,2021-12-31 00:00:00,2285000000.0,YUM
Total Unusual Items,2021-12-31 00:00:00,97000000.0,YUM
Total Unusual Items Excluding Goodwill,2021-12-31 00:00:00,97000000.0,YUM
Net Income From Continuing Operation Net Minority Interest,2021-12-31 00:00:00,1575000000.0,YUM
Reconciled Depreciation,2021-12-31 00:00:00,164000000.0,YUM
Reconciled Cost Of Revenue,2021-12-31 00:00:00,3418000000.0,YUM
EBITDA,2021-12-31 00:00:00,2382000000.0,YUM
EBIT,2021-12-31 00:00:00,2218000000.0,YUM
Net Interest Income,2021-12-31 00:00:00,-544000000.0,YUM
Interest Expense,2021-12-31 00:00:00,544000000.0,YUM
Normalized Income,2021-12-31 00:00:00,1483723000.0,YUM
Net Income From Continuing And Discontinued Operation,2021-12-31 00:00:00,1575000000.0,YUM
Total Expenses,2021-12-31 00:00:00,4478000000.0,YUM
Total Operating Income As Reported,2021-12-31 00:00:00,2139000000.0,YUM
Diluted Average Shares,2021-12-31 00:00:00,302000000.0,YUM
Basic Average Shares,2021-12-31 00:00:00,297000000.0,YUM
Diluted EPS,2021-12-31 00:00:00,5.21,YUM
Basic EPS,2021-12-31 00:00:00,5.3,YUM
Diluted NI Availto Com Stockholders,2021-12-31 00:00:00,1575000000.0,YUM
Net Income Common Stockholders,2021-12-31 00:00:00,1575000000.0,YUM
Net Income,2021-12-31 00:00:00,1575000000.0,YUM
Net Income Including Noncontrolling Interests,2021-12-31 00:00:00,1575000000.0,YUM
Net Income Continuous Operations,2021-12-31 00:00:00,1575000000.0,YUM
Tax Provision,2021-12-31 00:00:00,99000000.0,YUM
Pretax Income,2021-12-31 00:00:00,1674000000.0,YUM
Other Income Expense,2021-12-31 00:00:00,112000000.0,YUM
Other Non Operating Income Expenses,2021-12-31 00:00:00,15000000.0,YUM
Special Income Charges,2021-12-31 00:00:00,19000000.0,YUM
Other Special Charges,2021-12-31 00:00:00,-35000000.0,YUM
Write Off,2021-12-31 00:00:00,16000000.0,YUM
Impairment Of Capital Assets,2021-12-31 00:00:00,16000000.0,YUM
Restructuring And Mergern Acquisition,2021-12-31 00:00:00,-35000000.0,YUM
Gain On Sale Of Security,2021-12-31 00:00:00,78000000.0,YUM
Net Non Operating Interest Income Expense,2021-12-31 00:00:00,-544000000.0,YUM
Interest Expense Non Operating,2021-12-31 00:00:00,544000000.0,YUM
Operating Income,2021-12-31 00:00:00,2106000000.0,YUM
Operating Expense,2021-12-31 00:00:00,1060000000.0,YUM
Selling General And Administration,2021-12-31 00:00:00,1060000000.0,YUM
General And Administrative Expense,2021-12-31 00:00:00,1060000000.0,YUM
Other Gand A,2021-12-31 00:00:00,1060000000.0,YUM
Salaries And Wages,2021-12-31 00:00:00,7000000.0,YUM
Gross Profit,2021-12-31 00:00:00,3166000000.0,YUM
Cost Of Revenue,2021-12-31 00:00:00,3418000000.0,YUM
Total Revenue,2021-12-31 00:00:00,6584000000.0,YUM
Operating Revenue,2021-12-31 00:00:00,6584000000.0,YUM
Tax Effect Of Unusual Items,2020-12-31 00:00:00,,YUM
Tax Rate For Calcs,2020-12-31 00:00:00,,YUM
Normalized EBITDA,2020-12-31 00:00:00,,YUM
Total Unusual Items,2020-12-31 00:00:00,,YUM
Total Unusual Items Excluding Goodwill,2020-12-31 00:00:00,,YUM
Net Income From Continuing Operation Net Minority Interest,2020-12-31 00:00:00,,YUM
Reconciled Depreciation,2020-12-31 00:00:00,,YUM
Reconciled Cost Of Revenue,2020-12-31 00:00:00,,YUM
EBITDA,2020-12-31 00:00:00,,YUM
EBIT,2020-12-31 00:00:00,,YUM
Net Interest Income,2020-12-31 00:00:00,,YUM
Interest Expense,2020-12-31 00:00:00,,YUM
Normalized Income,2020-12-31 00:00:00,,YUM
Net Income From Continuing And Discontinued Operation,2020-12-31 00:00:00,,YUM
Total Expenses,2020-12-31 00:00:00,,YUM
Total Operating Income As Reported,2020-12-31 00:00:00,,YUM
Diluted Average Shares,2020-12-31 00:00:00,,YUM
Basic Average Shares,2020-12-31 00:00:00,,YUM
Diluted EPS,2020-12-31 00:00:00,,YUM
Basic EPS,2020-12-31 00:00:00,,YUM
Diluted NI Availto Com Stockholders,2020-12-31 00:00:00,,YUM
Net Income Common Stockholders,2020-12-31 00:00:00,,YUM
Net Income,2020-12-31 00:00:00,,YUM
Net Income Including Noncontrolling Interests,2020-12-31 00:00:00,,YUM
Net Income Continuous Operations,2020-12-31 00:00:00,,YUM
Tax Provision,2020-12-31 00:00:00,,YUM
Pretax Income,2020-12-31 00:00:00,,YUM
Other Income Expense,2020-12-31 00:00:00,,YUM
Other Non Operating Income Expenses,2020-12-31 00:00:00,,YUM
Special Income Charges,2020-12-31 00:00:00,,YUM
Other Special Charges,2020-12-31 00:00:00,-34000000.0,YUM
Write Off,2020-12-31 00:00:00,,YUM
Impairment Of Capital Assets,2020-12-31 00:00:00,144000000.0,YUM
Restructuring And Mergern Acquisition,2020-12-31 00:00:00,,YUM
Gain On Sale Of Security,2020-12-31 00:00:00,,YUM
Net Non Operating Interest Income Expense,2020-12-31 00:00:00,,YUM
Interest Expense Non Operating,2020-12-31 00:00:00,,YUM
Operating Income,2020-12-31 00:00:00,,YUM
Operating Expense,2020-12-31 00:00:00,,YUM
Selling General And Administration,2020-12-31 00:00:00,,YUM
General And Administrative Expense,2020-12-31 00:00:00,,YUM
Other Gand A,2020-12-31 00:00:00,,YUM
Salaries And Wages,2020-12-31 00:00:00,14000000.0,YUM
Gross Profit,2020-12-31 00:00:00,,YUM
Cost Of Revenue,2020-12-31 00:00:00,,YUM
Total Revenue,2020-12-31 00:00:00,,YUM
Operating Revenue,2020-12-31 00:00:00,,YUM
Tax Effect Of Unusual Items,2024-01-31 00:00:00,0.0,WMT
Tax Rate For Calcs,2024-01-31 00:00:00,0.255,WMT
Normalized EBITDA,2024-01-31 00:00:00,36384000000.0,WMT
Total Unusual Items,2024-01-31 00:00:00,0.0,WMT
Total Unusual Items Excluding Goodwill,2024-01-31 00:00:00,0.0,WMT
Net Income From Continuing Operation Net Minority Interest,2024-01-31 00:00:00,15511000000.0,WMT
Reconciled Depreciation,2024-01-31 00:00:00,11853000000.0,WMT
Reconciled Cost Of Revenue,2024-01-31 00:00:00,490142000000.0,WMT
EBITDA,2024-01-31 00:00:00,36384000000.0,WMT
EBIT,2024-01-31 00:00:00,24531000000.0,WMT
Net Interest Income,2024-01-31 00:00:00,-2137000000.0,WMT
Interest Expense,2024-01-31 00:00:00,2683000000.0,WMT
Interest Income,2024-01-31 00:00:00,546000000.0,WMT
Normalized Income,2024-01-31 00:00:00,15511000000.0,WMT
Net Income From Continuing And Discontinued Operation,2024-01-31 00:00:00,15511000000.0,WMT
Total Expenses,2024-01-31 00:00:00,621113000000.0,WMT
Total Operating Income As Reported,2024-01-31 00:00:00,27012000000.0,WMT
Diluted Average Shares,2024-01-31 00:00:00,8108000000.0,WMT
Basic Average Shares,2024-01-31 00:00:00,8076999999.0,WMT
Diluted EPS,2024-01-31 00:00:00,1.91,WMT
Basic EPS,2024-01-31 00:00:00,1.92,WMT
Diluted NI Availto Com Stockholders,2024-01-31 00:00:00,15511000000.0,WMT
Net Income Common Stockholders,2024-01-31 00:00:00,15511000000.0,WMT
Net Income,2024-01-31 00:00:00,15511000000.0,WMT
Minority Interests,2024-01-31 00:00:00,-759000000.0,WMT
Net Income Including Noncontrolling Interests,2024-01-31 00:00:00,16270000000.0,WMT
Net Income Continuous Operations,2024-01-31 00:00:00,16270000000.0,WMT
Tax Provision,2024-01-31 00:00:00,5578000000.0,WMT
Pretax Income,2024-01-31 00:00:00,21848000000.0,WMT
Other Income Expense,2024-01-31 00:00:00,-3027000000.0,WMT
Other Non Operating Income Expenses,2024-01-31 00:00:00,-3027000000.0,WMT
Special Income Charges,2024-01-31 00:00:00,0.0,WMT
Other Special Charges,2024-01-31 00:00:00,,WMT
Net Non Operating Interest Income Expense,2024-01-31 00:00:00,-2137000000.0,WMT
Interest Expense Non Operating,2024-01-31 00:00:00,2683000000.0,WMT
Interest Income Non Operating,2024-01-31 00:00:00,546000000.0,WMT
Operating Income,2024-01-31 00:00:00,27012000000.0,WMT
Operating Expense,2024-01-31 00:00:00,130971000000.0,WMT
Selling General And Administration,2024-01-31 00:00:00,130971000000.0,WMT
Gross Profit,2024-01-31 00:00:00,157983000000.0,WMT
Cost Of Revenue,2024-01-31 00:00:00,490142000000.0,WMT
Total Revenue,2024-01-31 00:00:00,648125000000.0,WMT
Operating Revenue,2024-01-31 00:00:00,648125000000.0,WMT
Tax Effect Of Unusual Items,2023-01-31 00:00:00,0.0,WMT
Tax Rate For Calcs,2023-01-31 00:00:00,0.336,WMT
Normalized EBITDA,2023-01-31 00:00:00,30089000000.0,WMT
Total Unusual Items,2023-01-31 00:00:00,0.0,WMT
Total Unusual Items Excluding Goodwill,2023-01-31 00:00:00,0.0,WMT
Net Income From Continuing Operation Net Minority Interest,2023-01-31 00:00:00,11680000000.0,WMT
Reconciled Depreciation,2023-01-31 00:00:00,10945000000.0,WMT
Reconciled Cost Of Revenue,2023-01-31 00:00:00,463721000000.0,WMT
EBITDA,2023-01-31 00:00:00,30089000000.0,WMT
EBIT,2023-01-31 00:00:00,19144000000.0,WMT
Net Interest Income,2023-01-31 00:00:00,-1874000000.0,WMT
Interest Expense,2023-01-31 00:00:00,2128000000.0,WMT
Interest Income,2023-01-31 00:00:00,254000000.0,WMT
Normalized Income,2023-01-31 00:00:00,11680000000.0,WMT
Net Income From Continuing And Discontinued Operation,2023-01-31 00:00:00,11680000000.0,WMT
Total Expenses,2023-01-31 00:00:00,590861000000.0,WMT
Total Operating Income As Reported,2023-01-31 00:00:00,20428000000.0,WMT
Diluted Average Shares,2023-01-31 00:00:00,8202000000.0,WMT
Basic Average Shares,2023-01-31 00:00:00,8171000000.0,WMT
Diluted EPS,2023-01-31 00:00:00,1.42,WMT
Basic EPS,2023-01-31 00:00:00,1.43,WMT
Diluted NI Availto Com Stockholders,2023-01-31 00:00:00,11680000000.0,WMT
Net Income Common Stockholders,2023-01-31 00:00:00,11680000000.0,WMT
Net Income,2023-01-31 00:00:00,11680000000.0,WMT
Minority Interests,2023-01-31 00:00:00,388000000.0,WMT
Net Income Including Noncontrolling Interests,2023-01-31 00:00:00,11292000000.0,WMT
Net Income Continuous Operations,2023-01-31 00:00:00,11292000000.0,WMT
Tax Provision,2023-01-31 00:00:00,5724000000.0,WMT
Pretax Income,2023-01-31 00:00:00,17016000000.0,WMT
Other Income Expense,2023-01-31 00:00:00,-1538000000.0,WMT
Other Non Operating Income Expenses,2023-01-31 00:00:00,-1538000000.0,WMT
Special Income Charges,2023-01-31 00:00:00,0.0,WMT
Other Special Charges,2023-01-31 00:00:00,,WMT
Net Non Operating Interest Income Expense,2023-01-31 00:00:00,-1874000000.0,WMT
Interest Expense Non Operating,2023-01-31 00:00:00,2128000000.0,WMT
Interest Income Non Operating,2023-01-31 00:00:00,254000000.0,WMT
Operating Income,2023-01-31 00:00:00,20428000000.0,WMT
Operating Expense,2023-01-31 00:00:00,127140000000.0,WMT
Selling General And Administration,2023-01-31 00:00:00,127140000000.0,WMT
Gross Profit,2023-01-31 00:00:00,147568000000.0,WMT
Cost Of Revenue,2023-01-31 00:00:00,463721000000.0,WMT
Total Revenue,2023-01-31 00:00:00,611289000000.0,WMT
Operating Revenue,2023-01-31 00:00:00,611289000000.0,WMT
Tax Effect Of Unusual Items,2022-01-31 00:00:00,-612140000.0,WMT
Tax Rate For Calcs,2022-01-31 00:00:00,0.254,WMT
Normalized EBITDA,2022-01-31 00:00:00,33758000000.0,WMT
Total Unusual Items,2022-01-31 00:00:00,-2410000000.0,WMT
Total Unusual Items Excluding Goodwill,2022-01-31 00:00:00,-2410000000.0,WMT
Net Income From Continuing Operation Net Minority Interest,2022-01-31 00:00:00,13673000000.0,WMT
Reconciled Depreciation,2022-01-31 00:00:00,10658000000.0,WMT
Reconciled Cost Of Revenue,2022-01-31 00:00:00,429000000000.0,WMT
EBITDA,2022-01-31 00:00:00,31348000000.0,WMT
EBIT,2022-01-31 00:00:00,20690000000.0,WMT
Net Interest Income,2022-01-31 00:00:00,-1836000000.0,WMT
Interest Expense,2022-01-31 00:00:00,1994000000.0,WMT
Interest Income,2022-01-31 00:00:00,158000000.0,WMT
Normalized Income,2022-01-31 00:00:00,15470860000.0,WMT
Net Income From Continuing And Discontinued Operation,2022-01-31 00:00:00,13673000000.0,WMT
Total Expenses,2022-01-31 00:00:00,546812000000.0,WMT
Total Operating Income As Reported,2022-01-31 00:00:00,25942000000.0,WMT
Diluted Average Shares,2022-01-31 00:00:00,8415000000.0,WMT
Basic Average Shares,2022-01-31 00:00:00,8376000000.0,WMT
Diluted EPS,2022-01-31 00:00:00,1.623333,WMT
Basic EPS,2022-01-31 00:00:00,1.633333,WMT
Diluted NI Availto Com Stockholders,2022-01-31 00:00:00,13673000000.0,WMT
Net Income Common Stockholders,2022-01-31 00:00:00,13673000000.0,WMT
Net Income,2022-01-31 00:00:00,13673000000.0,WMT
Minority Interests,2022-01-31 00:00:00,-267000000.0,WMT
Net Income Including Noncontrolling Interests,2022-01-31 00:00:00,13940000000.0,WMT
Net Income Continuous Operations,2022-01-31 00:00:00,13940000000.0,WMT
Tax Provision,2022-01-31 00:00:00,4756000000.0,WMT
Pretax Income,2022-01-31 00:00:00,18696000000.0,WMT
Other Income Expense,2022-01-31 00:00:00,-5410000000.0,WMT
Other Non Operating Income Expenses,2022-01-31 00:00:00,-3000000000.0,WMT
Special Income Charges,2022-01-31 00:00:00,-2410000000.0,WMT
Other Special Charges,2022-01-31 00:00:00,2410000000.0,WMT
Net Non Operating Interest Income Expense,2022-01-31 00:00:00,-1836000000.0,WMT
Interest Expense Non Operating,2022-01-31 00:00:00,1994000000.0,WMT
Interest Income Non Operating,2022-01-31 00:00:00,158000000.0,WMT
Operating Income,2022-01-31 00:00:00,25942000000.0,WMT
Operating Expense,2022-01-31 00:00:00,117812000000.0,WMT
Selling General And Administration,2022-01-31 00:00:00,117812000000.0,WMT
Gross Profit,2022-01-31 00:00:00,143754000000.0,WMT
Cost Of Revenue,2022-01-31 00:00:00,429000000000.0,WMT
Total Revenue,2022-01-31 00:00:00,572754000000.0,WMT
Operating Revenue,2022-01-31 00:00:00,572754000000.0,WMT
Tax Effect Of Unusual Items,2021-01-31 00:00:00,0.0,WMT
Tax Rate For Calcs,2021-01-31 00:00:00,0.333,WMT
Normalized EBITDA,2021-01-31 00:00:00,34031000000.0,WMT
Total Unusual Items,2021-01-31 00:00:00,0.0,WMT
Total Unusual Items Excluding Goodwill,2021-01-31 00:00:00,0.0,WMT
Net Income From Continuing Operation Net Minority Interest,2021-01-31 00:00:00,13510000000.0,WMT
Reconciled Depreciation,2021-01-31 00:00:00,11152000000.0,WMT
Reconciled Cost Of Revenue,2021-01-31 00:00:00,420315000000.0,WMT
EBITDA,2021-01-31 00:00:00,34031000000.0,WMT
EBIT,2021-01-31 00:00:00,22879000000.0,WMT
Net Interest Income,2021-01-31 00:00:00,-2194000000.0,WMT
Interest Expense,2021-01-31 00:00:00,2315000000.0,WMT
Interest Income,2021-01-31 00:00:00,121000000.0,WMT
Normalized Income,2021-01-31 00:00:00,13510000000.0,WMT
Net Income From Continuing And Discontinued Operation,2021-01-31 00:00:00,13510000000.0,WMT
Total Expenses,2021-01-31 00:00:00,536603000000.0,WMT
Total Operating Income As Reported,2021-01-31 00:00:00,22548000000.0,WMT
Diluted Average Shares,2021-01-31 00:00:00,8541000000.0,WMT
Basic Average Shares,2021-01-31 00:00:00,8493000000.0,WMT
Diluted EPS,2021-01-31 00:00:00,1.583333,WMT
Basic EPS,2021-01-31 00:00:00,1.59,WMT
Diluted NI Availto Com Stockholders,2021-01-31 00:00:00,13510000000.0,WMT
Net Income Common Stockholders,2021-01-31 00:00:00,13510000000.0,WMT
Net Income,2021-01-31 00:00:00,13510000000.0,WMT
Minority Interests,2021-01-31 00:00:00,-196000000.0,WMT
Net Income Including Noncontrolling Interests,2021-01-31 00:00:00,13706000000.0,WMT
Net Income Continuous Operations,2021-01-31 00:00:00,13706000000.0,WMT
Tax Provision,2021-01-31 00:00:00,6858000000.0,WMT
Pretax Income,2021-01-31 00:00:00,20564000000.0,WMT
Other Income Expense,2021-01-31 00:00:00,210000000.0,WMT
Other Non Operating Income Expenses,2021-01-31 00:00:00,210000000.0,WMT
Special Income Charges,2021-01-31 00:00:00,0.0,WMT
Other Special Charges,2021-01-31 00:00:00,,WMT
Net Non Operating Interest Income Expense,2021-01-31 00:00:00,-2194000000.0,WMT
Interest Expense Non Operating,2021-01-31 00:00:00,2315000000.0,WMT
Interest Income Non Operating,2021-01-31 00:00:00,121000000.0,WMT
Operating Income,2021-01-31 00:00:00,22548000000.0,WMT
Operating Expense,2021-01-31 00:00:00,116288000000.0,WMT
Selling General And Administration,2021-01-31 00:00:00,116288000000.0,WMT
Gross Profit,2021-01-31 00:00:00,138836000000.0,WMT
Cost Of Revenue,2021-01-31 00:00:00,420315000000.0,WMT
Total Revenue,2021-01-31 00:00:00,559151000000.0,WMT
Operating Revenue,2021-01-31 00:00:00,559151000000.0,WMT
Tax Effect Of Unusual Items,2024-12-31 00:00:00,-6402000.0,PEP
Tax Rate For Calcs,2024-12-31 00:00:00,0.194,PEP
Normalized EBITDA,2024-12-31 00:00:00,16713000000.0,PEP
Total Unusual Items,2024-12-31 00:00:00,-33000000.0,PEP
Total Unusual Items Excluding Goodwill,2024-12-31 00:00:00,-33000000.0,PEP
Net Income From Continuing Operation Net Minority Interest,2024-12-31 00:00:00,9578000000.0,PEP
Reconciled Depreciation,2024-12-31 00:00:00,3815000000.0,PEP
Reconciled Cost Of Revenue,2024-12-31 00:00:00,41744000000.0,PEP
EBITDA,2024-12-31 00:00:00,16680000000.0,PEP
EBIT,2024-12-31 00:00:00,12865000000.0,PEP
Net Interest Income,2024-12-31 00:00:00,-919000000.0,PEP
Interest Expense,2024-12-31 00:00:00,919000000.0,PEP
Normalized Income,2024-12-31 00:00:00,9604598000.0,PEP
Net Income From Continuing And Discontinued Operation,2024-12-31 00:00:00,9578000000.0,PEP
